2021-09-29 19:56:56,191, DEBUG, 123, root
2021-09-29 19:56:56,191, INFO, Сообщение отправлено, root
2021-09-29 19:56:56,192, WARNING, Большая нагрузка!, root
2021-09-29 19:56:56,192, ERROR, Бот не смог отправить сообщение, root
2021-09-29 19:56:56,192, CRITICAL, Всё упало! Зовите админа!1!111, root
2021-09-29 20:06:44,630, INFO, Сообщение отправлено, __main__
2021-09-29 20:06:44,631, WARNING, Большая нагрузка!, __main__
2021-09-29 20:06:44,631, ERROR, Бот не смог отправить сообщение, __main__
2021-09-29 20:06:44,631, CRITICAL, Всё упало! Зовите админа!1!111, __main__
2021-09-29 20:08:12,115, INFO, Сообщение отправлено, __main__
2021-09-29 20:08:12,116, WARNING, Большая нагрузка!, __main__
2021-09-29 20:08:12,116, ERROR, Бот не смог отправить сообщение, __main__
2021-09-29 20:08:12,117, CRITICAL, Всё упало! Зовите админа!1!111, __main__
